Answer,Question,Source File,Sr.No,Option A,Option B,Option C,Option D
D,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 105 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 WWW stands for World Wise World wise World Wide World wide ___________ Web work Web Work 2 ""Alt"" Key is __________ Combination Insert Addition Change Key. 3 ""Control"" Key is Enter Insert Addition Combination __________ Key. 4 ""PARAM"" is the ------------- Super Micro Mini Mainframe computer 5 ""UNICODE"" is types of Application Program Font File --------- … … … … … … 6 .. Means Indent Margin Gap Gutter distance between Text Matter and Page Margins. … … … … … … … 7 can be Status Area Ruler Status Bar Toolbar used to set margins and indents in Document … … … … … … … 8 . is not a Bold Italics Regular Superscript font style. … … … … … … … … 9 is the Ctrl + F Alt + Ctrl + F Ctrl + D Ctrl + Shift + D short cut key to open Font dialog box. … … … … … … … … 10 . Is a Insertion Bar Tab Insertion Tab Point blinking straight line where Pointer we can type the matter. 11 ____ Option is available Status Bar Title Bar Menu Bar Formula Bar only in MS-Excel Window. 12 _____ Means instruction to Text Formula Number Cell Reference perform calculations 13 ______ data type cannot Text Formula Tree Number be used as a data a cell. 14 _______ Bar is given at the Status Title Access Tool topmost side of 'opening Screen' in Excel 15 ________ means set of Style Font Size Font Group Font different formatting effects. 16 ....................... various Shred Switch Flip All of Above Transitions available in MS - PowerPoint. Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 ....................... View is Slide Slide show Outline Slide Sorter used to adjust or arrange the matter in the slide. 18 ....................... view is Outline Normal Print Layout None of Above useful to create a slide 19 ...........................Menu is Window View Slide Show Format available only in PowerPoint. 20 .ppt extension is for ______ Ms Excel Ms Ms Presenter Ms Word software files. PowerPoint 21 ___ Is the by default Web Internet Netscape Mozilla Firfox Google browser of Microsoft Explorer Navigator Chrome Company 22 ___ Is the machine that Server Printer Monitor Mouse makes www documents available. 23 ___ shortcut key is used F1 F12 F3 F5 for refresh in Internet Explorer 24 ____ Folder shows the Inbox Outbox Sent Mail Trash received Emails of Email account. 25 ____ is an example of Interpreter Operating Compiler Browser Application Software. System",BATCH_-_(105).pdf,,,,,
,KB = ________ Bytes 100 1000 1024 1048 C 2,BATCH_-_(502).pdf,1,,,,
,kb = __________ 1024 Bytes 512 Bytes 1024 Mb None of these A,BATCH_-_(502).pdf,1,,,,
,kb = … … … … … 3,BATCH_-_(502).pdf,1,,,,
,Bytes 512 Bytes 1024 Mb None Of A Above 4,BATCH_-_(502).pdf,1024,,,,
,mb = ___________ 100 Bytes 1024 Kb 1000 Bytes None of these B 5,BATCH_-_(502).pdf,1,,,,
D,Megabyte = ________ 1024 Kilo 1000 Kilo 1022 Kilo Byte 1024 Bits A Byte Byte … … … … … Command is View Tab used to see two different parts of same document on screen. → Window group → Home Tab split → 6 Quick Parts Insert Tab Paragraph group … … … … … … 7 .. Is type of Windows Ms-Word Dos Unix Application Software … … … … … … … … 8 . is the CTRL + Alt + Enter Shift + Enter Space + Enter shortcut-key for manual Enter line break. … … … … … … … … 9 . Can be Status Area Ruler Line Status bar Toolbar used to set margins and indents in Document. If you what first character large than other words in a document … … 10 Capital case drop cap change case font case .effect used 11 Delete sheet Command is File View Home Tools given in _________tab. Delete Sheet Command is given in Home … … … 12 Tab Cells Editing Number Font .. Group. Descending Sorting means … … … … … … … 13 A to z Z to A Both A & B None of the . Sorting above 14 Doughnut is one of the Picture Symbol Chart None of these type of _________ in Excel. 15 Doughnut is one of the TRUE FALSE type of chart in Excel 16 Default name of Document 1 Workbook 1 Presentation1 None of these presentation is 17 Default Orientation in Portrait Landscape Horizontal None of these PowerPoint is Sr.No Question Option A Option B Option C Option D Provisional Ans. 18 Default zoom available in 0.5 1 1.5 Fit to Window PowerPoint is 19 Design and Layout are Template Page Picture Chart given to the slides according to __________ selected 20 Design and Layout Theme true false are given to the slides according to Template selected. 21 ___________means set of software Hardware Program Process instructions given to the computer. 22 __________is a valid file .AVI .JPEG .MPEG .MIDI extension of image. 23 __________is another XML XHTML XPS Xreader format similar to PDF. 24 _________is a Tiredness Less storage Inaccurate Automation characteristic of a computer. 25 _________is NOT a gadget Calendar Clock Currency MS-Word provided by Windows 10.,BATCH_-_(502).pdf,1,,,,
B,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 302 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 __________ is called Pen Scanner Bar code Portable Flatbed photoelectric scanners. reader Scanner scanner 2 __________ is printer Internet Web site Home page interconnected network. 3 __________ Is not output Monitor Pen Drive Printer Plotter device 4 __________ Is output Monitor Printer Plotter All Of Above device 5 __________ Is permanent Ram Rom Cache None Of memory Above 6 _______ Is the shortcut key Ctrl + G Ctrl + C Ctrl + E Ctrl + H to ""Center Align"". 7 _______ Line spacing 1.0 (Single) 1.5 2.0 (Double) 4 means between two lines there is the spacing of only one line. 8 _______ shortcut key is F1 F2 F7 F8 used to spell check in MS-Word 9 _______ Tab we can do Page Layout Print Layout A4 Home page setting in MS-Word 10 _________ Is containing of Table Border Text Box Rectangle Rows and columns. A dark coloured strip showing the title at the top of Ms- Excel window is called as … … … 11 Status Bar Title Bar Scroll Bar None of the above .. 12 A formula in Excel always TRUE FALSE has to start with (fx). 13 A single worksheet has 16000 16384 17000 17384 _____ columns 14 A single worksheet has 10,48,576 11,00,000 12,00,000 None of these _____ rows 15 A Workbook may contain Worksheet Column Row Pages many ___________ 16 _______________ can be Video Audio Both A & B None of These recorded in PowerPoint Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 _______________ tab is Window Slide Show Format Home available only in PowerPoint. 18 __________________ are Fade Push Wipe All of these transitions available in PowerPoint 19 __________________ Entrance Exit Emphasis Flip transition are available in PowerPoint 20 ____________________ is a Title only status Line Circle type of slide in PowerPoint 21 __________ Can be used Word Image editor Windows E-mail to send and receive Processor messages. 22 __________ Is an example Interpreter Operating Browser Compiler of Application Software. System 23 __________ means raw Characters Information Data Analysis information given to computer as input. 24 __________ Means Forward Compose Delete Reply respond to received mail. 25 __________ Means Compose Forward Reply Delete sending received E-Mail to some other mail id.",BATCH_-_(302).pdf,,,,,
A,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 301 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 __________ Are not display Projector Hdtv Plotter None Of devices. Above 2 __________ are not names Norton Quick Heal Net Protector MS-Word of Antivirus program. 3 __________ Are types of Desktop Laptop Handheld All Of Above micro computers. 4 __________ are types of Mechanical Optical Wireless All of these mouse 5 __________ device is Mouse Joystick Keyboard None of above specially used to play games on computer 6 ______ of the following is Right Center Left Top not a type of page margin? 7 ______ option is used to Bulletes and Tables Columns Tab stops create document like Numbering newspaper format. 8 ______ option is used to double click single click double click on right click on select the whole word in on that word on that word page border that word document. 9 ______ shows print insert tab design tab review tab file menu preview in MS Word 2019 10 _______ Is not a font face. Bold Arial Calibri Times New Roman 11 ___Means in built formula Programs Value Figures Functions basically available in Excel … … 12 . is used to cancel the ESC delete next None of these changes in MS-Excel 13",BATCH_-_(301).pdf,,,,,
D,"points is the default Column worksheet row cell C height of _____ 14 A bar displays content and Status Formula Address Title formula in active cell is called ---- bar 15 A bar which is displayed at name bar address bar formula bar no such bar is the right side of the name displayed in box is called as ___ in MS MS Excel Excel 2019 . 2019 . 16 ____________ view is not Normal Notes Page Draft None of these available in PowerPoint Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 _____________ means the Animation Transition Word art clipart effects given in slide, regarding how the objects appeared during slide show. 18 _____________ option is Time Rehearse Automatic Watch used to see slide show at Time some particular time pause. 19 ______________ can be Document Database Handouts Picture created using PowerPoint. 20 ______________ view is Slide Mater Handout Notes Master All of these available in PowerPoint Mater 21 _________ Means contains gov net edu com some commercial information. 22 _________ means contains edu com gov net some education information. 23 _________ means edu net gov com government Web Site. 24 _________ shortcut key is F1 F5 F12 F3 used for refresh in Internet Explorer. 25 _________ Shows a Server Postal E-Mail Address Bar location address on the Address Address Browser.",BATCH_-_(301).pdf,15,,,,
B,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 205 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 _________ operations are Bitwise Arithmetic Logical Binary mathematical calculations 2 _________ Replaced i.c. Transistors Integrated Microprocesso None Of Circuits rs Above 3 _________ Replaced Transistors Integrated Microprocesso None Of transistors Circuits rs Above 4 _________ types of Hard Internal External SSD All of above Disk are easy to carry while travelling 5 __________ Are display Projector Hdtv Monitor All Of Above devices. 6 _____ tab is used to insert Home Insert Data View the wordart into the document. 7 ______ indicates two lines 20 2.0 20 1.2 of spacing in between two lines of text in MS Word",BATCH_-_(205).pdf,,,,,
A,. 8 ______ is blinking straight Arrow cursor blink None of these line where we can type the matter 9 ______ is the default file .txt .word .docx .dos extension for all word documents. 10 ______ item is printed at Header Foot Note Title Footer the bottom of each page 11 ___________ option is to Close Exit Minimize Maximize be select to quit Microsoft Excel. 12 ____________ application Word Database DOS Spreadsheet is most suited for a bar Processor chart 13 ____________ Bar is given Status Title Access Tool at the top side of 'Opening screen' in Excel 14 __________Function if() Min() Round() int() converts the number into nearest integer. 15 ______Option is available Status Bar Formula Bar Menu bar Title Bar only in MS_EXCEL Window. Sr.No Question Option A Option B Option C Option D Provisional Ans. 16 ___________ view is Normal Notes Page Reading View All of these available in PowerPoint 17 ___________ view is not Normal Draft Notes Page None of these available in Powerpoint 18 ____________ can be Speaker's layout Slide Document referred by the speaker Note while giving a presentation. 19 ____________ Menu is Windows View Slide Show Format available only in Power Point. 20 ____________ pointer Pen Arrow New Animation helps to draw line to understand our speech or statements while slide show. 21 _________ Is a special Pause Tab Esc F10 function key available on the keyboard. 22 _________ Is an example Monitor Mouse Printer Speaker of input unit. 23 _________ Is shown on the Recycle Bin Disk Drives Compilers Drivers desktop of Windows 10. 24 _________ Is standard IPX SPX ITC TCP / IP Internet Protocol 25 _________ is WAN type of Internet Browser Webpage Home page network.,BATCH_-_(205).pdf,2019,,,,
A,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 201 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 .Avi is extension of Image Audio Audio Video None Of _____________ file. Above 2 .bmp is ----------- file MS-paint Photoshop Coral draw PageMaker extension. 3 A folder is also called as TRUE FALSE Directory 4 .Bmp is extension of Bitmap Executable Wordpad None Of _____________ file. Above 5 .Docx is ___________ file Notepad Word 2003 Word 2007 to Word 97 extension. 2019 … … … … … … … … … … 6 . is Office XP Office Vista Office 2007 None of above not valid version of MS Office 7 In MS Word, Ctrl+S is for Scenarios Size Save Spelling ___ Check 8 In MS-Word 2019 Left Right Bottom Justify _____________ Is not a alignment. 9 we can select page border page border page layout Border Tab alignment tab style using option in _____ tab tab tab in MS Word 2019 . you want to cut some matter to move another place … … … 10 cut close delete up .used. 11 ________ options are freeze panes freeze top freeze first All of these available under freeze row column panes in view tab? 12 _________ Can be used for Autofill Text Mid Formula different mathematical calculations in Excel. 13 _________ Types of 3 2 4 5 orientation are available in Ms-Excel 14 __________ application is Word Database DOS Spreadsheet most suited for a bar chart Processor 15 __________ Bar is given at Status Title Access Tool the top side of 'Opening screen' in Excel 16 .pptx is the extension of Excel Access PowerPoint Word ____________ Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 _____ view is used to Slide Slide Show Outline Slide Sorter adjust or arrange the matter in the slide. 18 ______ are Transitions Fade Push Wipe All of these available in MS - Powerpoint 19 ______ option is used to Time Rehearse Automatic Watch see slide show at some Time particular time interval. 20 ______ view is useful to Outline Normal Print Layout None of these create a slide 21 ____ is Search Engine. World Wide HTTP HTML Gopher Web 22 ____ key is used to see all F1 F2 F3 F4 the list of Internet Addresses. 23 ____ Option is used to Draft Inbox Sent Box None of above store incomplete or temporary message in E-Mail. 24 _____ is a worldwide LAN Internet Bluetooth Infrared system of network. 25 _____ Is an application Internet Interpreter Complier Hyperlink software. Explorer",BATCH_-_(201).pdf,,,,,
D,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 204 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 ________ is example of MS-Word C++ Paint Notepad programming language 2 _________ indicates signal 0 1 Off Switch is off 3 _________ is extension of .docx .xlsx .pptx .txt Notepad file. 4 _________ Is storage Mouse Pen Drive Scanner Keyboard device 5 _________ Keys are Ctrl Alt Shift All of these combination keys 6 _____ is used for to refresh F5 F6 F1 F2 the active window 7 _____ is used to cancel the ESC delete next None of these changes 8 _____ of the following is Office 2003 Office Vista Office 2019 Office 2007 not valid version of MS Office? 9 _____ option copies the paste selected copy format selected text in MS Word 2019 10 _____ tab is used to insert Insert Tools File Design the shapes into the document. 11 __________ means set of Style Font Size Font Group Font different formatting effects. 12 __________ option helps us Print Titles Scale to Fit Break Print Area to fit more of the data on lesser number of the pages 13 __________ Option is Status Bar Formula Bar Menu bar Title Bar available only in MS_EXCEL Window. 14 __________ option is used Autofill MIN Average Today to get 1,2,3,4 . . . . Numbers in Sr.No. Column. 15 __________ Types of 3 2 4 5 orientation are available in Ms-Excel Sr.No Question Option A Option B Option C Option D Provisional Ans. 16 __________ is available Slide Show Window View Format only in Powerpoint. 17 __________ is extension .docx .pptx .accdb .prst for Presentation in Office 2019 18 __________ is used to MS Word Excel Notepad Powerpoint create best presentation. worksheet 19 __________ is used to MS Word MS Excel MS MS Presenter create business PowerPoint presentations 20 __________ view is not Normal Web Layout Reading View None of these available in PowerPoint 21 ________ were used in Vacuum Transistors Integrated Microprocesso second generation Tubes Circuits rs computers. 22 ________ were used in Vacuum Transistors Integrated Microprocesso third generation Tubes Circuits rs computers. 23 _________ Cables are Twisted Pair Fiber-Optic Shield Twisted None of these more safe than coaxial Pair cables 24 _________ E-Mails are Sent Inbox Delete Draft shown in trash menu. 25 _________ Is a collection of Data Group Set Folder files and subfolders.",BATCH_-_(204).pdf,,,,,
D,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 403 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 _____________ Are faster Mainframe Mini Micro Hybrid than mini computers. Computer Computer Computer Computers 2 _____________ Device is Keyboard Mouse Scanner All Of Above used to scan images, printed text, handwriting from papers. 3 _____________ is the Desktop Handheld Laptop All of these microcomputer. 4 ______________ Are Speed Accuracy Diligence All Of Above characteristics of computer 5 ______________ Are Windows Linux Mac Os All Of Above operating systems. … 6 .Dialog box is displayed Print Open Save as Font after clicking on save command in File menu when we try to save document first time … … 7 can be used to set Status area Ruler Line Status Bar Toolbar margins and indents in Document. … … 8 . Bar is displayed in Title Bar Status Bar Scroll Bar Format Bar the bottom side of Microsoft word application window … … 9 . layout view helps in update print insert delete understanding the position of the text matter on the page … … 10 .. is the default number 3 10 15 20 of lines to drop for drop cap. 11 Can we save Excel file in TRUE FALSE Pdf? 12 Cell Address / Cell true false Reference is the combination of Column Label and Row Number. 13 Cell address contains TRUE FALSE column label and row number in MS Excel 2019 Sr.No Question Option A Option B Option C Option D Provisional Ans. 14 Cell Address/Cell Column Row and column Label Row Number Reference is the Label and column combination of Row ________________ Number. 15 Cell addresses used in Formulas Cell Parameters Functionlist Formula are called as Reference __________ 16 Cannot insert table in TRUE FALSE Power Point Presentation 17 Changes made in Main slide First Slide Slide Master Last Slide _________ are applied to all the slides. 18 Changes made in First Slide Main Slide Last Slide Slide Master __________________ are applied to all slides. 19 Character Spacing option Clipboard Slides Font Paragraph is available in ___________ group in PowerPoint 20 In PowerPoint we can Insert - Design - Insert - None of these apply your own backgroud Background - Background - Background styles using -- Background Background styles Styles 21 ________________ is an Gmail Facebook Chrome Gopher internet search tool. 22 ________________ Is text Signature People People text Personal which is automatically widget information inserted at the bottom of every E-Mail. 23 ________________ is the Client Server Modem None of these powerful PC and data is stored in it. 24 ________________ system E-mail Online Voice mail Shared is use send electronic service messages resources message. 25 __________________ is LOC IPSA VRL URL acronym for the address webpage.",BATCH_-_(403).pdf,,,,,
A,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 202 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 .exe file can be used to TRUE FALSE attached with E-mail. 2 .Midi is extension of Text Musical Bitmap None Of _____________ file. Instrument Above Digital Interface 3 .txt is ----------- file Word Notepad PowerPoint Photoshop extension. 4 ______ Is unit of computer Bytes Mega Gita None Of memory Above 5 ______ is used to transfer Scanner Printer Pen Drive All of above data from one PC to another 6 ""Smiley face"" shape is in Shape Status Formatting Standard the ___________ Option of Insert Tab 7 ____ can be used to set Status area Ruler Line Status Bar Toolbar margins and indents in Document. 8 ____ is containing of Rows Text Box Rectangle Borders Table and Columns. 9 ____ means distance Indent Margin Gap Gutter between 'Text Matter' and 'Page Margins'. 10 ____ option cancels copy paste Formatting undo previous action in msword. 11 __________ Can be used Autofill Text Mid Formula for different mathematical calculations in Excel. 12 __________ data type Text Formula Tree Number cannot be used as a data a cell. 13 __________ features AutoCal Add Autosum Sum displays total of selected cell values on status bar- 14 __________ Function if() Min() Round() int() converts the number into nearest integer. Sr.No Question Option A Option B Option C Option D Provisional Ans. 15 __________ Function = IF() = Max() = Round() = Ceiling() makes the number in the brackets round to the number upto specific digits. 16 ______ View is useful to Normal Print Layout Outline None of the type matter on slide. above 17 _______ is Power Point file .docx .pptx .mdb .bmp extention. 18 ________ Layout can be Comparison Title Slide Picture with None of these used to insert picture with Caption its description. 19 ________ shows slides in Zoom Show Slide Show All of these full screen 20 _________ option can be Sections layout reset new slide selected from the slides group too organize your slides into different sections. 21 _____ Is an example of Word spreadsheet presentation Unix system software. processor 22 _____ is the biggest LAN MAN Internet WAN Network in the word. 23 ______ Button is used to Home Backward Refresh Forward Arrow reload the web page on Arrow the Browser 24 ______ is brain of a CPU Input Unit Output Unit Memory Unit computer system. 25 _______ is a Microsoft's Internet Google Opera Mozilla Firefox web Browser that install Explorer Chrome with windows by default.",BATCH_-_(202).pdf,,,,,
,bytes = … … … … … … 1,BATCH_-_(503).pdf,1024,,,,
,Kb 1 Mb 1 Gb 1 Tb A 2,BATCH_-_(503).pdf,1,,,,
,GB = 1 Terabyte Gigabyte Megabyte Kilobyte A _____________ 3,BATCH_-_(503).pdf,1024,,,,
,kb = ___________ 1 Kb 1 Mb 1 Gb 1 Tb B 4,BATCH_-_(503).pdf,1024,,,,
,kilobyte = 1 Kilobyte 1 Megabyte 1 Gigabyte 1 Terabyte B _____________ 5,BATCH_-_(503).pdf,1024,,,,
A,"mb = _____________ 1 Kb 1 Mb 1 Gb 1 Tb C … … … … … … … … 6 .. is not a Left Right Center Top type of page margin. … … … … … … 7 option will be cap Drop Caption Drop Cap used for desired type of the Drop Cap. … … … … 8 means readymade WordArt font styles Font size Template formats provided by words. … … … … 9 tab group is useful Home Insert View Data for changing font,font size of the selected matter. … … … 10 application software MS-Word MS-Excel MS-Powerpoin All of these is used for word t processing 11 Each Excel file is called a It contains It can be It can contain User has to Workbook because Text and modified Many Sheets work hard to ___________ Data create it 12 Each row in Excel has true false given one Number. 13 Each row in Excel has Number Character Picture Icon given one ______________ Every Worksheet has vertical and horizontal lines called … … … … … … 14 Cell Pixel Table Grid . 15 Page break is viewed in Normal Page Break Print Break Form ___________ MS-Excel . Preview Preview 16 Design/ Transition/ MS-Word MS-Excel MS-PowerPoi MS-Access Animations/ Slide show nt tabs are available in __________ Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 Each entity (page) of Slide Page Sheet None of these PowerPoint is referred as __________ 18 Exit command is used to close open create edit __________ a presentation. 19 Exit command will close all TRUE FALSE open presentation 20 F1 Function key is used to Add slide start slide Display help delete slide __________ in PowerPoint show 21 _________Shortcut key is Tab Esc Ctrl Shift used to stop loading of webpage in Internet Explorer 22 _______are also called as Super Mainframe Mini Micro personal computers. Computers Computers Computers Computers … 23 .. Is the by default Web Internet Netscape Mozilla Firefox Google browser of Microsoft Explorer Navigator Chrome Company … … 24 . Is one of example of Facebook Twitter Whatsapp All of the Social Network Service above … … 25 . Protocol is used to HTTP FTP TCP/IP None of these transfer the information of web pages on www.",BATCH_-_(503).pdf,1024,,,,
A,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 102 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 ________________ means Pentium IV P-4, 1.7 1.7 Speed, P-IV-1.7 P4, 1.7 GHz. Processor, Speed P-4 Speed Clock Speed 1.7 GHz 2 ------------ an example of Data Quick Heal Memory Floppy & CD computer Antivirus. 3 ---------- and printer are Monitor Unix Windows Webcam commonly used output devices. 4 -------------- are the input Keyboard Mouse Scanner All of Above devices. 5 -------------- are the output Printer Monitor Speaker All of Above devices. 6 ___________ items are Footer Foot Note End Note Header placed at the end of a document 7 _____________ Is made Text Box Rectangles Borders Table up of Rows and Columns. 8 _____________ Means Indent Margin Gap Gutter distance between Text Matter and Page Margins. 9 _______________ is not a Bold Italics Regular Superscript font style. 10 ________________ is the FIL DOT .Docx TXT extension of Word files? 11 _____________ Means Text Formula Number Cell instruction to perform Reference calculations. 12 _____________ Option is Status Bar Title Bar Menu Bar Formula Bar available only in MS-Excel Window. 13 = Lower() Function use to Capital Small Big Upper convert text in to __________ case. 14 = Now(), is a function system time time date None of these used to get the current ______ 15 = Today(), is a function Year Date Month Time used to get the current _____ Sr.No Question Option A Option B Option C Option D Provisional Ans. 16 ------------------- are printed Notes Speaker's Listener's Notations notes of speech referred Notes Notes by the Speaker in the meeting. 17 ------------------------ is Status Bar Ribbon Quick Access Title bar present besides the Toolbar PowerPoint logo on Title bar. 18 ---------------- is very useful MS-Word MS-Excel MS-PowerPoi MS-Access software for making nt presentations (Slides, handout etc.) at professional level. 19 -------- means the effects Animation Transition World Art Clip Art given in Slide, regarding how the Objects appear during Slide show. 20 ------------------------- Menu Window View Slide show Format is available only in PowerPoint. 21 ""WWW"" is an acronym for Wide World Web Wide World Web World Wide what? Web World Wide Web 22 .................... Are types of Mechanical Optical Wireless All of these Mouse. Mouse Mouse Mouse 23 .Com domain code is used Government Commercial Educational Professional to show ___ Site 24 .com is an example of TRUE FALSE domain name address. 25 .com, .edu, .org, .net, .gov TRUE FALSE are part of domain code.",BATCH_-_(102).pdf,,,,,
A,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 103 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 HTTP is abbreviation of Hypertext Hypertext Hypertext Hypertext ___________ transport transport transport port transfer policy permission Protocol 2 --------- is an example of JAVA UNIX C++ Internet Operating system. 3 --------- is an example of WORD EXCEL NOTEPAD C++ programming language. 4 -------- is electronic circuit System RAM ROM CPU board which built in Board computer cabinet. 5 ------------- is the Desktop Handheld Laptop All of Above microcomputer. 6 __________________ is Next Page Previous Odd Page Even Page not the Section Break Page Option? 7 _____________________ is Office XP Office Vista Office 2007 None of these not valid version of MS Office … … … … 8 . of the following Auto Format Auto Correct Smart Tags Auto Text helps to reduce spelling error in the document? … … … … … 9 . item appears Water Color Background Watermark Back Color dimly behind the main body text … … … … … 10 .. can you Press F8 Press Del to Press Esc to Press Enter to disable extended selection again to disable disable disable mode disable 11 = Upper() Function use to Capital Small Lower subscript convert text in to __________ cases. 12 =lower(""Hello"") , this Hello hello hELLO HELLO function will convent the given text as =Round() Function makes the number given in the bracket … … … … … 13 Maximum Minimum Round None of the above to the number upto specific digit. 14 =SUM(E8:E11) this true false function sort the values in cells range between E8 to E11. Sr.No Question Option A Option B Option C Option D Provisional Ans. 15 =Upper(""Hello"") , this Hello hello hELLO HELLO function will convent the given text as 16 --------------------- view is Print Layout Outline Normal None of these useful to type matter on slide. 17 ...................... is process Page Show Image Show Slide Show None of Above in which all slides are displayed one after another? 18 ...................... is used to MS Word Excel Notepad PowerPoint create best presentation. worksheet 19 ...................... Means the Animation Transition Word Art Clip Art effects given in slide, regarding how the objects appeared during the slide show. 20 ...................... shows slides Zoom Show Slide Show All of these in full screen 21 .Edu domain code is used Government Commercial Educational Professional to show ___ Site 22 .edu, .com, .org, .net, .gov true false are part of standard internet address domain code. 23 .GIF is a compressed 256 1024 354 400 bitmap format which supports ______________colors. 24 .Gov domain code is used Government Commercial Educational Professional to show ___ Site 25 .MIDI is a file extension of TRUE FALSE a sound file.",BATCH_-_(103).pdf,,,,,
